game,Date,Opponent,GF,GA,results,ot,shotsfor,shotsagainst,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO,season
63,2/27/2019,Edmonton Oilers,6,2,W,,36,36,53,58,47.7,38,45,45.8,29,18,61.7,37.6,108.5,2018
64,2/28/2019,New York Islanders,1,6,L,,35,37,49,54,47.6,34,47,42,19,25,43.2,52,89,2018
65,3/2/2019,Buffalo Sabres,5,2,W,,32,37,52,51,50.5,37,40,48.1,24,14,63.2,40.9,112.5,2018
66,3/4/2019,Calgary Flames,6,2,W,,32,37,54,73,42.5,38,53,41.8,31,30,50.8,40,114.3,2018
67,3/6/2019,Vancouver Canucks,2,3,L,OT,30,31,51,71,41.8,34,50,40.5,22,32,40.7,50.4,96.3,2018
68,3/9/2019,Edmonton Oilers,3,2,W,,40,33,62,45,57.9,51,38,57.3,26,15,63.4,48.3,98,2018
69,3/11/2019,Tampa Bay Lightning,2,6,L,,28,42,45,57,44.1,39,50,43.8,32,26,55.2,35.3,94.6,2018
70,3/13/2019,Chicago Blackhawks,4,5,L,,47,39,92,56,62.2,64,47,57.7,31,26,54.4,50,93.7,2018
71,3/15/2019,Philadelphia Flyers,7,6,W,,51,29,77,44,63.6,57,37,60.6,32,27,54.2,56.7,91.6,2018
72,3/16/2019,Ottawa Senators,2,6,L,,37,44,61,55,52.6,41,45,47.7,29,17,63,46.9,87.2,2018
73,3/19/2019,Nashville Predators,0,3,L,,22,20,42,34,55.3,26,26,50,18,22,45,63.3,83.3,2018
74,3/20/2019,Buffalo Sabres,4,2,W,,46,24,65,41,61.3,53,32,62.4,31,27,53.4,63.9,105.5,2018
75,3/23/2019,New York Rangers,1,2,L,OT,45,28,85,48,63.9,56,38,59.6,31,21,59.6,62.7,94.1,2018
76,3/25/2019,Florida Panthers,7,5,W,,37,36,53,62,46.1,41,48,46.1,32,25,56.1,41.9,106.9,2018
77,3/27/2019,Philadelphia Flyers,4,5,L,SO,42,44,73,63,53.7,58,54,51.8,30,26,53.6,47.8,101,2018
78,3/30/2019,Ottawa Senators,2,4,L,,44,22,72,36,66.7,51,26,66.2,28,14,66.7,73.1,85.8,2018
79,4/1/2019,New York Islanders,2,1,W,,38,29,51,48,51.5,40,30,57.1,25,23,52.1,58.6,107.7,2018
80,4/2/2019,Carolina Hurricanes,1,4,L,,24,37,51,69,42.5,37,54,40.7,32,23,58.2,50.5,91.4,2018
81,4/4/2019,Tampa Bay Lightning,1,3,L,,30,29,53,49,52,41,41,50,19,21,47.5,51.4,96.4,2018
82,4/6/2019,Montreal Canadiens,5,6,L,SO,49,49,79,68,53.7,59,58,50.4,32,39,45.1,53.7,102.4,2018
